temakode;objekttype;geometri
4556;GeolVerneverdigObj;PTEMA
4557;MarinDataLinje;LTEMA
4557;MarinDataPosisjon;PTEMA
4558;MaringeolEnhet;FTEMA
4558;MaringeolEnhetPkt;PTEMA
4560;GeokjemiskProvetattOmr;FTEMA
4560;GeokjemiskProvetattOmr;PTEMA
4561;GeokjemiskAnomaliOmr;FTEMA
4561;GeokjemiskAnomaliOmr;PTEMA
4562;GeokjemiskTolketFlate;FTEMA
4562;GeokjemiskTolketFlate;PTEMA
4563;GeokjemiskProvePkt;PTEMA
4564;AvsetningRateFlate;FTEMA
4565;BunntypeHardhet;FTEMA
4566;GrunnGassOmr;FTEMA
4567;KornstrFlate;FTEMA
4568;LosmasseObsPkt;PTEMA
4569;MaringeolObsLinje;LTEMA
4569;MaringeolObsPkt;PTEMA
4570;GeofysiskMaleOmr;FTEMA
4570;GeofysiskMaleOmr;PTEMA
4571;GeofysiskTolketFlate;FTEMA
4571;GeofysiskTolketFlate;PTEMA
4572;GeofysiskProfillinje;LTEMA
4573;GeofysiskTolketLinje;LTEMA
4574;GeofysiskKote;LTEMA
4575;PetrofysiskPkt;PTEMA
4576;GeofysiskLinjeInfo;LTEMA
4576;GeofysiskInfoPkt;PTEMA
4577;GeofysiskTolketPkt;PTEMA
4578;GeofysiskMalePkt;PTEMA
4579;GrotteInventarAvgr;LTEMA
4580;BergartFlate;FTEMA
4580;BergartGrense;LTEMA
4581;RastoffBorehull;PTEMA
4582;Gang;LTEMA
4583;AkseplanTrase;LTEMA
4584;LosmasseFlateUnderordnet;FTEMA
4585;Forkastning;LTEMA
4586;PlanStrukturPkt;PTEMA
4587;Sprekk;LTEMA
4588;AndreLineament;LTEMA
4588;LinjeStrukturPkt;PTEMA
4589;AnnenBerggrunnAvgr;LTEMA
4589;LineamentLokalitet;PTEMA
4590;MetamorfoseGrense;LTEMA
4591;BerggrunnProfil;LTEMA
4592;FjellBlotning;FTEMA
4593;BerggrunnSymbol;PTEMA
4594;BerggrunnProvePkt;PTEMA
4595;BerggrunnBeskrivelse;PTEMA
4596;Foliament;LTEMA
4597;GrotteRom;FTEMA
4597;GrotteromAvgr;LTEMA
4598;GrotteInventar;FTEMA
4599;AnnenGrotteLinje;LTEMA
4599;GrottePkt;PTEMA
4601;Restriksjonsområde;FTEMA
4601;Restriksjonsområdegrense;LTEMA
4601;Restriksjonsområde;PTEMA
4603;Fiskerisone;FTEMA
4603;Fiskerisonegrense;LTEMA
4603;Fiskerisone;PTEMA
4604;RegulertFiskeområde;FTEMA
4604;RegulertFiskeområde;PTEMA
4605;Fiskefelt;FTEMA
4605;Fiskefelt;PTEMA
4606;MilitærtØvelsesområde;FTEMA
4606;MilitærtØvelsesområdegrense;LTEMA
4606;MilitærtØvelsesområde;PTEMA
4607;Fareområde;FTEMA
4607;Fareområdegrense;LTEMA
4607;Fareområde;PTEMA
4608;HefteUrenBunn;FTEMA
4608;HefteUrenBunnGrense;LTEMA
4608;HefteUrenBunn;PTEMA
4609;RegulertFiskeområdegrense;LTEMA
4610;Fiskevernsone;FTEMA
4610;Fiskevernsonegrense;LTEMA
4610;Fiskevernsone;PTEMA
4611;Fiskefeltgrense;LTEMA
4612;GrenseSjø;LTEMA
4613;Fiskeressursområde;FTEMA
4613;Fiskeressursområde;PTEMA
4614;Fiskeribruksområde;FTEMA
4614;Fiskeribruksområde;PTEMA
4615;Fiskegrunn;FTEMA
4615;Fiskegrunn;PTEMA
4616;Dumpefelt;FTEMA
4616;Dumpefeltgrense;LTEMA
4616;Dumpefelt;PTEMA
4617;Lakseplass;LTEMA
4617;Lakseplass;PTEMA
4618;Sjøflyhavn;FTEMA
4618;Sjøflyhavngrense;LTEMA
4618;Sjøflyhavn;PTEMA
4619;Ankringsområde;FTEMA
4619;Ankringsområdegrense;LTEMA
4619;Ankringsområde;PTEMA
4620;MudretOmråde;FTEMA
4620;MudretOmrådegrense;LTEMA
4620;MudretOmråde;PTEMA
4621;Havbeite;FTEMA
4621;Havbeite;PTEMA
4622;Havbeitegrense;LTEMA
4623;Aktsomhetsområdegrense;LTEMA
4624;FlytendeMerke;PTEMA
4625;Fiskeressursområdegrense;LTEMA
4626;Fiskeribruksområdegrense;LTEMA
4627;Fiskegrunngrense;LTEMA
4628;Aktsomhetsområde;FTEMA
4628;Aktsomhetsområde;PTEMA
4629;Navigasjonsinstallasjon;PTEMA
4635;Rørledningsområde;FTEMA
4635;Rørledningsområde;PTEMA
4636;Rørledningsområdegrense;LTEMA
4639;Havnedistrikt;FTEMA
4639;Havnedistriktgrense;LTEMA
4639;Havnedistrikt;PTEMA
4641;Trafikkseparasjonslinje;LTEMA
4642;AnbefaltTrafikkretning;PTEMA
4645;TrafikkseparasjonFilDel;FTEMA
4645;TrafikkseparasjonFilDel;PTEMA
4648;TrafikkseparasjonFilDelGrense;LTEMA
4649;Havneavsnitt;FTEMA
4649;Havneavsnittgrense;LTEMA
4649;Havneavsnitt;PTEMA
4650;Kurslinje;LTEMA
4651;Prøvetak;PTEMA
4652;Målestasjon;PTEMA
4654;Småbåthavn;FTEMA
4654;Småbåthavngrense;LTEMA
4654;Småbåthavn;PTEMA
4655;Fortøyningsbøye;PTEMA
4656;Havneterminal;FTEMA
4656;Havneterminalgrense;LTEMA
4656;Havneterminal;PTEMA
4701;SkredFaresone;FTEMA
4702;SkredObsForhistorisk;FTEMA
4703;SkredObsHistorisk;FTEMA
4703;SkredObsHistorisk;PTEMA
4704;SkredObsPkt;PTEMA
4705;SkredSkadested;PTEMA
4706;UtlosningOmr;FTEMA
4707;UtlopOmr;FTEMA
4708;FlodbolgeOmr;FTEMA
4709;Grunnboring;PTEMA
4711;SkredFaregrense;LTEMA
48;RuteGenerell;LTEMA
49;Vegpunkt;PTEMA
50;Vegnode;PTEMA
5000;Bygg;FTEMA
5000;Bygg;PTEMA
5001;AnnenBygning;FTEMA
5001;AnnenBygning;PTEMA
5002;Fasadeliv;LTEMA
5003;Bygningsdelelinje;LTEMA
5004;Bygningsavgrensning;LTEMA
5005;Grunnmurriss;LTEMA
5006;Grunnmur;LTEMA
5007;Fasaderiss;LTEMA
5008;Takriss;LTEMA
5009;TaksprangBunn;LTEMA
5010;Bygning;FTEMA
5010;Bygning;PTEMA
5011;Bygningsendring;FTEMA
5011;Bygningsendring;PTEMA
5012;KulturminneBygning;FTEMA
5012;KulturminneBygning;PTEMA
5013;Arkade;LTEMA
5014;Takkant;LTEMA
5021;BymessigBebyggelse;FTEMA
5021;BymessigBebyggelse;PTEMA
5022;TettBebyggelse;FTEMA
5022;TettBebyggelse;PTEMA
5041;Takoverbygg;FTEMA
5041;TakoverbyggKant;LTEMA
5041;Takoverbygg;PTEMA
5050;Bygningsvedheng;LTEMA
5051;TrappBygg;LTEMA
5052;Trappetrinn;LTEMA
5061;Veranda;LTEMA
5080;Bygningslinje;LTEMA
5081;Taksprang;LTEMA
5082;Mønelinje;LTEMA
5083;Hjelpepunkt3D;PTEMA
5084;BeskrivendeBygningsdetalj;LTEMA
5084;BeskrivendeBygningsdetalj;PTEMA
5085;Hjelpelinje3D;LTEMA
5086;Takplatå;LTEMA
5090;Industriområde;FTEMA
5090;Industriområde;PTEMA
5099;FiktivBygningsavgrensning;LTEMA
51;Veglenke;PTEMA
5101;Låvebru;LTEMA
5102;BygningBru;LTEMA
5132;Portrom;LTEMA
